country,city,station,parameter,value,date
China,Beijing,Beijing US Embassy,pm25,10.0,2016-01-31 04:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,11.0,2016-01-31 05:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,10.0,2016-01-31 06:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,11.0,2016-01-31 07:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,11.0,2016-01-31 08:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,12.0,2016-01-31 09:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,13.0,2016-01-31 10:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,74.0,2016-01-31 11:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,16.0,2016-01-31 12:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,14.0,2016-01-31 13:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,11.0,2016-01-31 14:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,13.0,2016-01-31 15:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,11.0,2016-01-31 16:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,12.0,2016-01-31 17:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,15.0,2016-01-31 18:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,12.0,2016-01-31 19:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,13.0,2016-01-31 20:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,13.0,2016-01-31 21:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,25.0,2016-01-31 22:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,26.0,2016-01-31 23:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,34.0,2016-02-01 00:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,31.0,2016-02-01 01:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,14.0,2016-02-01 02:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,9.0,2016-02-01 03:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,11.0,2016-02-01 04:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,10.0,2016-02-01 05:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,8.0,2016-02-01 06:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,9.0,2016-02-01 07:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,9.0,2016-02-01 08:00:00+00:00
China,Beijing,Beijing US Embassy,pm25,9.0,2016-02-01 09:00:00+00:00
China,Shenyang,Shenyang,pm25,34.0,2021-05-18 00:00:00+00:00
China,Shenyang,Shenyang,pm25,28.0,2021-05-18 01:00:00+00:00
China,Shenyang,Shenyang,pm25,24.0,2021-05-18 02:00:00+00:00
China,Shenyang,Shenyang,pm25,38.0,2021-05-18 03:00:00+00:00
China,Shenyang,Shenyang,pm25,54.0,2021-05-18 04:00:00+00:00
China,Shenyang,Shenyang,pm25,33.0,2021-05-18 05:00:00+00:00
China,Shenyang,Shenyang,pm25,38.0,2021-05-18 06:00:00+00:00
China,Shenyang,Shenyang,pm25,17.0,2021-05-18 07:00:00+00:00
China,Shenyang,Shenyang,pm25,25.0,2021-05-18 08:00:00+00:00
China,Shenyang,Shenyang,pm25,24.0,2021-05-18 09:00:00+00:00
China,Shenyang,Shenyang,pm25,20.0,2021-05-18 10:00:00+00:00
China,Shenyang,Shenyang,pm25,38.0,2021-05-18 11:00:00+00:00
China,Shenyang,Shenyang,pm25,29.0,2021-05-18 12:00:00+00:00
China,Shenyang,Shenyang,pm25,31.0,2021-05-18 13:00:00+00:00
China,Shenyang,Shenyang,pm25,26.0,2021-05-18 14:00:00+00:00
China,Shenyang,Shenyang,pm25,34.0,2021-05-18 15:00:00+00:00
China,Shenyang,Shenyang,pm25,21.0,2021-05-18 16:00:00+00:00
China,Shenyang,Shenyang,pm25,19.0,2021-05-18 17:00:00+00:00
China,Shenyang,Shenyang,pm25,25.0,2021-05-18 18:00:00+00:00
China,Shenyang,Shenyang,pm25,25.0,2021-05-18 19:00:00+00:00
China,Shenyang,Shenyang,pm25,32.0,2021-05-18 20:00:00+00:00
China,Shenyang,Shenyang,pm25,35.0,2021-05-18 21:00:00+00:00
China,Shenyang,Shenyang,pm25,32.0,2021-05-18 22:00:00+00:00
China,Shenyang,Shenyang,pm25,32.0,2021-05-18 23:00:00+00:00
China,Shenyang,Shenyang,pm25,36.0,2023-03-17 14:00:00+00:00
China,Shenyang,Shenyang,pm25,27.0,2023-03-17 15:00:00+00:00
China,Shenyang,Shenyang,pm25,38.0,2023-03-17 16:00:00+00:00
China,Shenyang,Shenyang,pm25,38.0,2023-03-17 17:00:00+00:00
China,Shenyang,Shenyang,pm25,31.0,2023-03-17 18:00:00+00:00
China,Shenyang,Shenyang,pm25,36.0,2023-03-17 19:00:00+00:00
China,Chengdu,Chengdu,pm25,89.0,2016-01-31 04:00:00+00:00
China,Chengdu,Chengdu,pm25,94.0,2016-01-31 05:00:00+00:00
China,Chengdu,Chengdu,pm25,106.0,2016-01-31 06:00:00+00:00
China,Chengdu,Chengdu,pm25,97.0,2016-01-31 07:00:00+00:00
China,Chengdu,Chengdu,pm25,96.0,2016-01-31 08:00:00+00:00
China,Chengdu,Chengdu,pm25,92.0,2016-01-31 09:00:00+00:00
China,Chengdu,Chengdu,pm25,92.0,2016-01-31 10:00:00+00:00
China,Chengdu,Chengdu,pm25,84.0,2016-01-31 11:00:00+00:00
China,Chengdu,Chengdu,pm25,83.0,2016-01-31 12:00:00+00:00
China,Chengdu,Chengdu,pm25,91.0,2016-01-31 13:00:00+00:00
China,Chengdu,Chengdu,pm25,97.0,2016-01-31 15:00:00+00:00
China,Chengdu,Chengdu,pm25,104.0,2016-01-31 16:00:00+00:00
China,Chengdu,Chengdu,pm25,100.0,2016-01-31 17:00:00+00:00
China,Chengdu,Chengdu,pm25,95.0,2016-01-31 18:00:00+00:00
China,Chengdu,Chengdu,pm25,91.0,2016-01-31 19:00:00+00:00
China,Chengdu,Chengdu,pm25,89.0,2016-01-31 20:00:00+00:00
China,Chengdu,Chengdu,pm25,103.0,2016-01-31 21:00:00+00:00
China,Chengdu,Chengdu,pm25,101.0,2016-01-31 22:00:00+00:00
China,Chengdu,Chengdu,pm25,105.0,2016-01-31 23:00:00+00:00
China,Chengdu,Chengdu,pm25,97.0,2016-02-01 00:00:00+00:00
China,Chengdu,Chengdu,pm25,91.0,2016-02-01 01:00:00+00:00
China,Chengdu,Chengdu,pm25,84.0,2016-02-01 02:00:00+00:00
China,Chengdu,Chengdu,pm25,97.0,2016-02-01 03:00:00+00:00
China,Chengdu,Chengdu,pm25,92.0,2016-02-01 04:00:00+00:00
China,Chengdu,Chengdu,pm25,96.0,2016-02-01 05:00:00+00:00
China,Chengdu,Chengdu,pm25,82.0,2016-02-01 06:00:00+00:00
China,Chengdu,Chengdu,pm25,86.0,2016-02-01 07:00:00+00:00
China,Chengdu,Chengdu,pm25,89.0,2016-02-01 08:00:00+00:00
China,Chengdu,Chengdu,pm25,92.0,2016-02-01 09:00:00+00:00
China,Chengdu,Chengdu,pm25,98.0,2016-02-01 10:00:00+00:00
China,Shanghai,Shanghai,pm25,24.0,2016-01-30 00:00:00+00:00
China,Shanghai,Shanghai,pm25,27.0,2016-01-30 01:00:00+00:00
China,Shanghai,Shanghai,pm25,29.0,2016-01-30 02:00:00+00:00
China,Shanghai,Shanghai,pm25,32.0,2016-01-30 03:00:00+00:00
China,Shanghai,Shanghai,pm25,32.0,2016-01-30 04:00:00+00:00
China,Shanghai,Shanghai,pm25,32.0,2016-01-30 05:00:00+00:00
China,Shanghai,Shanghai,pm25,32.0,2016-01-30 06:00:00+00:00
China,Shanghai,Shanghai,pm25,28.0,2016-01-30 07:00:00+00:00
China,Shanghai,Shanghai,pm25,34.0,2016-01-30 08:00:00+00:00
China,Shanghai,Shanghai,pm25,37.0,2016-01-30 09:00:00+00:00
China,Shanghai,Shanghai,pm25,42.0,2016-01-30 10:00:00+00:00
China,Shanghai,Shanghai,pm25,49.0,2016-01-30 11:00:00+00:00
China,Shanghai,Shanghai,pm25,54.0,2016-01-30 12:00:00+00:00
China,Shanghai,Shanghai,pm25,54.0,2016-01-30 13:00:00+00:00
China,Shanghai,Shanghai,pm25,59.0,2016-01-30 14:00:00+00:00
China,Shanghai,Shanghai,pm25,54.0,2016-01-30 15:00:00+00:00
China,Shanghai,Shanghai,pm25,54.0,2016-01-30 16:00:00+00:00
China,Shanghai,Shanghai,pm25,61.0,2016-01-30 17:00:00+00:00
China,Shanghai,Shanghai,pm25,64.0,2016-01-30 18:00:00+00:00
China,Shanghai,Shanghai,pm25,65.0,2016-01-30 19:00:00+00:00
China,Shanghai,Shanghai,pm25,64.0,2016-01-30 20:00:00+00:00
China,Shanghai,Shanghai,pm25,62.0,2016-01-30 21:00:00+00:00
China,Shanghai,Shanghai,pm25,66.0,2016-01-30 22:00:00+00:00
China,Shanghai,Shanghai,pm25,56.0,2016-01-30 23:00:00+00:00
China,Shanghai,Shanghai,pm25,59.0,2016-01-31 00:00:00+00:00
China,Shanghai,Shanghai,pm25,59.0,2016-01-31 01:00:00+00:00
China,Shanghai,Shanghai,pm25,59.0,2016-01-31 02:00:00+00:00
China,Shanghai,Shanghai,pm25,67.0,2016-01-31 03:00:00+00:00
China,Shanghai,Shanghai,pm25,64.0,2016-01-31 04:00:00+00:00
China,Shanghai,Shanghai,pm25,63.0,2016-01-31 05:00:00+00:00
