country,city,station,parameter,value,date
Bangladesh,,Balamand Alba DEK,pm25,10.0,2026-04-07 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,9.56,2026-04-08 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,8.71,2026-04-09 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,8.2,2026-04-10 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,6.2,2026-04-11 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,10.2,2026-04-12 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,17.9,2026-04-13 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,32.5,2026-04-14 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,23.9,2026-04-15 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,19.1,2026-04-16 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,31.5,2026-04-17 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,8.86,2026-04-18 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,8.74,2026-04-19 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,8.32,2026-04-20 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,14.0,2026-04-21 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,19.2,2026-04-22 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,21.7,2026-04-23 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,23.5,2026-04-24 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,23.0,2026-04-25 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,10.9,2026-04-26 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,8.97,2026-04-27 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,15.8,2026-04-28 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,21.6,2026-04-29 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,19.4,2026-04-30 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,18.4,2026-05-01 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,10.5,2026-05-02 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,2.43,2026-05-03 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,7.48,2026-05-04 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,8.18,2026-05-05 21:00:00+00:00
Bangladesh,,Balamand Alba DEK,pm25,13.9,2026-05-06 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,12.2,2026-04-13 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,11.4,2026-04-14 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,7.25,2026-04-15 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,16.2,2026-04-16 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,34.8,2026-04-17 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,9.98,2026-04-18 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,6.53,2026-04-19 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,4.6,2026-04-20 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,8.28,2026-04-21 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,10.3,2026-04-22 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,16.6,2026-04-23 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,16.6,2026-04-24 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,18.9,2026-04-25 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,3.16,2026-04-26 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,3.04,2026-04-27 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,14.5,2026-04-28 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,20.0,2026-04-29 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,19.9,2026-04-30 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,22.1,2026-05-01 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,8.96,2026-05-02 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,2.73,2026-05-03 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,4.48,2026-05-04 21:00:00+00:00
Bangladesh,,FM Jbeil,pm25,2.99,2026-05-05 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,7.46,2026-04-07 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,6.98,2026-04-08 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,7.5,2026-04-09 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,4.24,2026-04-10 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,3.6,2026-04-11 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,5.25,2026-04-12 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,9.46,2026-04-13 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,7.02,2026-04-14 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,6.08,2026-04-15 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,14.4,2026-04-16 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,31.6,2026-04-17 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,9.9,2026-04-18 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,7.03,2026-04-19 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,5.07,2026-04-20 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,5.65,2026-04-21 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,8.68,2026-04-22 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,14.0,2026-04-23 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,13.6,2026-04-24 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,17.8,2026-04-25 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,2.88,2026-04-26 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,3.46,2026-04-27 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,13.5,2026-04-28 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,18.6,2026-04-29 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,18.3,2026-04-30 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,19.1,2026-05-01 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,8.13,2026-05-02 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,3.83,2026-05-03 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,6.93,2026-05-04 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,5.04,2026-05-05 21:00:00+00:00
Bangladesh,,FM Amchit,pm25,5.99,2026-05-06 21:00:00+00:00
USA,,Jaffna,pm25,2020.0,2026-04-29 18:30:00+00:00
USA,,Jaffna,pm25,2020.0,2026-04-30 18:30:00+00:00
USA,,Jaffna,pm25,2020.0,2026-05-01 18:30:00+00:00
USA,,Jaffna,pm25,2020.0,2026-05-02 18:30:00+00:00
USA,,Jaffna,pm25,2020.0,2026-05-03 18:30:00+00:00
USA,,Jaffna,pm25,2020.0,2026-05-04 18:30:00+00:00
USA,,Jaffna,pm25,2030.0,2026-05-05 18:30:00+00:00
