country,city,station,parameter,value,date
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,11.3,2016-11-02 17:30:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,11.3,2016-11-02 18:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,8.6,2016-11-03 11:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,9.28,2016-11-03 11:30:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,9.13,2016-11-03 12:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,7.6,2016-11-03 13:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,7.9,2016-11-03 14:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,8.95,2016-11-03 14:30:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,9.13,2016-11-03 15:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,9.5,2016-11-03 16:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,8.43,2016-11-03 17:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,9.13,2016-11-03 17:30:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,9.7,2016-11-03 18:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,7.15,2016-11-03 18:30:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,4.5,2016-11-03 19:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,2.5,2016-11-03 19:30:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,5.48,2016-11-03 20:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,9.35,2016-11-03 21:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,10.9,2016-11-03 21:30:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,11.5,2016-11-03 22:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,11.1,2016-11-03 23:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,10.5,2016-11-03 23:30:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,10.2,2016-11-04 00:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,8.93,2016-11-04 01:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,8.4,2016-11-04 01:30:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,9.3,2016-11-04 02:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,9.38,2016-11-04 02:30:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,9.23,2016-11-04 03:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,8.55,2016-11-04 03:30:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",no2,8.08,2016-11-04 04:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,300.0,2016-11-02 17:30:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,300.0,2016-11-02 18:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,93.0,2016-11-03 11:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,93.0,2016-11-03 11:30:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,114.0,2016-11-03 12:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,164.0,2016-11-03 13:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,198.0,2016-11-03 14:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,205.0,2016-11-03 14:30:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,217.0,2016-11-03 15:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,254.0,2016-11-03 16:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,290.0,2016-11-03 17:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,300.0,2016-11-03 17:30:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,279.0,2016-11-03 18:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,268.0,2016-11-03 18:30:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,277.0,2016-11-03 19:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,286.0,2016-11-03 19:30:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,322.0,2016-11-03 20:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,358.0,2016-11-03 21:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,366.0,2016-11-03 22:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,402.0,2016-11-03 23:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,439.0,2016-11-03 23:30:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,413.0,2016-11-04 00:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,411.0,2016-11-04 01:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,435.0,2016-11-04 01:30:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,435.0,2016-11-04 02:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,424.0,2016-11-04 08:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,418.0,2016-11-04 08:30:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,438.0,2016-11-04 09:00:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,463.0,2016-11-04 09:30:00+00:00
India,Unknown,"Delhi Technological University, Delhi - CPCB",pm25,466.0,2016-11-04 10:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm10,481.0,2016-02-05 20:30:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm10,259.0,2016-02-06 06:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm10,234.0,2016-02-06 07:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm10,207.0,2016-02-06 08:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm10,209.0,2016-02-06 09:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm10,445.0,2016-02-06 18:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm10,391.0,2016-02-06 19:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm10,331.0,2016-02-06 20:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm10,312.0,2016-02-06 21:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm10,344.0,2016-02-06 22:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm10,308.0,2016-02-06 23:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm10,275.0,2016-02-07 00:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm10,273.0,2016-02-07 01:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm10,276.0,2016-02-07 02:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm10,288.0,2016-02-07 03:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm10,308.0,2016-02-07 04:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm10,332.0,2016-02-07 05:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,195.0,2016-02-05 14:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,195.0,2016-02-05 14:30:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,233.0,2016-02-05 15:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,252.0,2016-02-05 15:30:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,252.0,2016-02-05 16:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,124.0,2016-02-06 06:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,103.0,2016-02-06 07:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,87.0,2016-02-06 08:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,85.0,2016-02-06 09:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,237.0,2016-02-06 18:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,249.0,2016-02-06 19:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,218.0,2016-02-06 20:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,196.0,2016-02-06 21:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,208.0,2016-02-06 22:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,191.0,2016-02-06 23:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,187.0,2016-02-07 00:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,194.0,2016-02-07 01:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,195.0,2016-02-07 02:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,201.0,2016-02-07 03:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,206.0,2016-02-07 04:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,223.0,2016-02-07 05:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,219.0,2016-02-07 06:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,182.0,2016-02-07 07:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,134.0,2016-02-07 08:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,138.0,2016-02-07 09:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,139.0,2016-02-07 10:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,136.0,2016-02-07 11:00:00+00:00
India,Unknown,"R K Puram, Delhi - DPCC",pm25,113.0,2016-02-07 12:00:00+00:00
