country,city,station,parameter,value,date,source
Japan, ,一宮市小信中島字川南１２－３,pm25,15.0,2023-07-14 16:00:00+00:00,hours
Japan, ,一宮市小信中島字川南１２－３,pm25,6.0,2023-07-21 19:00:00+00:00,hours
Japan, ,一宮市小信中島字川南１２－３,pm25,6.0,2023-07-21 20:00:00+00:00,hours
Japan, ,一宮市小信中島字川南１２－３,pm25,6.0,2023-07-21 21:00:00+00:00,hours
Japan, ,一宮市小信中島字川南１２－３,pm25,6.0,2023-07-21 22:00:00+00:00,hours
Japan, ,一宮市小信中島字川南１２－３,pm25,4.0,2023-07-27 15:00:00+00:00,hours
Japan, ,一宮市小信中島字川南１２－３,pm25,5.0,2023-07-27 16:00:00+00:00,hours
Japan, ,一宮市小信中島字川南１２－３,pm25,5.0,2023-07-27 17:00:00+00:00,hours
Japan, ,一宮市小信中島字川南１２－３,pm25,6.0,2023-07-27 18:00:00+00:00,hours
Japan, ,一宮市小信中島字川南１２－３,pm25,6.0,2023-07-27 19:00:00+00:00,hours
Japan, ,一宮市小信中島字川南１２－３,pm25,6.0,2023-07-27 20:00:00+00:00,hours
Japan, ,一宮市小信中島字川南１２－３,pm25,7.0,2023-07-27 21:00:00+00:00,hours
Japan, ,一宮市小信中島字川南１２－３,pm25,12.0,2023-07-27 22:00:00+00:00,hours
Japan, ,一宮市小信中島字川南１２－３,pm25,17.0,2023-07-27 23:00:00+00:00,hours
Japan, ,一宮市小信中島字川南１２－３,pm25,24.0,2023-07-28 00:00:00+00:00,hours
Japan, ,一宮市小信中島字川南１２－３,pm25,19.0,2023-07-28 01:00:00+00:00,hours
Japan, ,一宮市小信中島字川南１２－３,pm25,21.0,2023-07-28 02:00:00+00:00,hours
Japan, ,一宮市小信中島字川南１２－３,pm25,19.0,2023-07-28 03:00:00+00:00,hours
Japan, ,一宮市小信中島字川南１２－３,pm25,19.0,2023-07-28 04:00:00+00:00,hours
Japan, ,一宮市小信中島字川南１２－３,pm25,26.0,2023-07-28 05:00:00+00:00,hours
Japan, ,一宮市小信中島字川南１２－３,pm25,16.0,2023-07-28 06:00:00+00:00,hours
Japan, ,一宮市小信中島字川南１２－３,pm25,9.0,2023-07-28 07:00:00+00:00,hours
