country,city,station,parameter,value,date,source
Nepal,Kathmandu,Embassy Kathmandu,pm25,54.5,2017-03-02 23:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,73.3,2017-03-03 00:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,76.1,2017-03-03 01:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,95.0,2017-03-03 02:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,209.0,2017-03-03 03:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,192.0,2017-03-03 04:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,342.0,2017-03-03 05:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,242.0,2017-03-03 06:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,157.0,2017-03-03 07:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,144.0,2017-03-03 08:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,144.0,2017-03-03 09:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,82.5,2017-03-03 10:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,49.6,2017-03-03 11:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,52.5,2017-03-03 12:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,52.2,2017-03-03 13:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,62.7,2017-03-03 14:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,71.9,2017-03-03 15:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,160.0,2017-03-03 16:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,184.0,2017-03-03 17:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,162.0,2017-03-03 18:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,154.0,2017-03-03 19:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,107.0,2017-03-03 20:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,80.6,2017-03-03 21:00:00+00:00,hours
Nepal,Kathmandu,Embassy Kathmandu,pm25,80.6,2017-03-03 22:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,106.0,2017-03-02 23:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,135.0,2017-03-03 00:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,155.0,2017-03-03 01:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,155.0,2017-03-03 02:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,179.0,2017-03-03 03:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,144.0,2017-03-03 04:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,106.0,2017-03-03 05:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,72.1,2017-03-03 06:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,48.0,2017-03-03 07:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,40.0,2017-03-03 08:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,36.0,2017-03-03 09:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,48.5,2017-03-03 10:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,41.7,2017-03-03 11:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,42.3,2017-03-03 12:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,59.6,2017-03-03 13:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,70.3,2017-03-03 14:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,147.0,2017-03-03 15:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,180.0,2017-03-03 16:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,180.0,2017-03-03 17:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,142.0,2017-03-03 18:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,113.0,2017-03-03 19:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,106.0,2017-03-03 20:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,92.8,2017-03-03 21:00:00+00:00,hours
Nepal,Phora Durbar Kathman,Phora Durbar Kathman,pm25,92.8,2017-03-03 22:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,75.8,2024-03-13 20:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,76.3,2024-03-13 21:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,76.3,2024-03-13 21:15:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,81.8,2024-03-13 22:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,81.8,2024-03-13 22:15:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,61.1,2024-03-14 12:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,70.7,2024-03-14 13:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,67.4,2024-03-14 14:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,73.9,2024-03-14 16:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,77.0,2024-03-14 17:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,76.9,2024-03-14 18:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,138.0,2024-03-15 00:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,135.0,2024-03-15 01:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,115.0,2024-03-15 02:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,95.2,2024-03-15 04:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,57.2,2024-03-15 05:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,54.5,2024-03-15 06:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,50.9,2024-03-15 07:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,43.9,2024-03-15 08:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,39.7,2024-03-15 09:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,38.3,2024-03-15 10:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,49.8,2024-03-15 11:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,58.6,2024-03-15 12:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm10,65.3,2024-03-15 13:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm25,14.5,2023-07-15 12:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm25,15.4,2023-07-15 13:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm25,32.5,2023-07-15 14:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm25,21.6,2023-07-15 15:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm25,26.9,2023-07-15 16:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm25,33.8,2023-07-15 20:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm25,29.8,2023-07-15 22:00:00+00:00,hours
Nepal,"Dhathutole, Handigaun","Dhathutole, Handigaun",pm25,36.4,2023-07-15 23:00:00+00:00,hours
